coordinates,sentiment
"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",positive
"[[[-95.546917, 29.473466], [-95.546917, 29.511206], [-95.486207, 29.511206], [-95.486207, 29.473466]]]",negative
"[[[2.224101, 48.815521], [2.224101, 48.902146], [2.469905, 48.902146], [2.469905, 48.815521]]]",neutral
"[[[-117.565226, 47.5742], [-117.565226, 47.760676], [-117.303868, 47.760676], [-117.303868, 47.5742]]]",negative
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-88.473228, 30.144425], [-88.473228, 35.008029], [-84.888247, 35.008029], [-84.888247, 30.144425]]]",negative
"[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]",negative
"[[[-95.774704, 35.995476], [-95.774704, 40.613641], [-89.098843, 40.613641], [-89.098843, 35.995476]]]",positive
"[[[-117.288262, 33.131231], [-117.288262, 33.23861], [-117.191297, 33.23861], [-117.191297, 33.131231]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-82.905845, 39.987076], [-82.905845, 40.05651], [-82.802554, 40.05651], [-82.802554, 39.987076]]]",negative
"[[[-88.019025, 42.24901], [-88.019025, 42.32843], [-87.896698, 42.32843], [-87.896698, 42.24901]]]",positive
"[[[-83.026932, 34.650283], [-83.026932, 34.737721], [-82.895394, 34.737721], [-82.895394, 34.650283]]]",positive
"[[[-82.069567, 26.531814], [-82.069567, 26.741146], [-81.904101, 26.741146], [-81.904101, 26.531814]]]",neutral
"[[[-82.506967, 28.054599], [-82.506967, 28.120751], [-82.452059, 28.120751], [-82.452059, 28.054599]]]",positive
"[[[-97.534906, 37.562483], [-97.534906, 37.80531], [-97.152924, 37.80531], [-97.152924, 37.562483]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",negative
"[[[-121.584282, 38.516197], [-121.584282, 38.603777], [-121.506483, 38.603777], [-121.506483, 38.516197]]]",negative
"[[[-119.311083, 34.369871], [-119.311083, 34.415528], [-119.276555, 34.415528], [-119.276555, 34.369871]]]",negative
"[[[-96.977527, 32.620678], [-96.977527, 33.019039], [-96.54598, 33.019039], [-96.54598, 32.620678]]]",negative
"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",neutral
"[[[7.620801, 47.559768], [7.620801, 47.600847], [7.693697, 47.600847], [7.693697, 47.559768]]]",positive
"[[[-8.804998, 54.459211], [-8.804998, 55.382852], [-6.9275839999999995, 55.382852], [-6.9275839999999995, 54.459211]]]",positive
"[[[-119.321696, 34.23444], [-119.321696, 34.344939], [-119.136287, 34.344939], [-119.136287, 34.23444]]]",positive
"[[[-88.019025, 42.24901], [-88.019025, 42.32843], [-87.896698, 42.32843], [-87.896698, 42.24901]]]",positive
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",positive
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",positive
"[[[-71.0536, 42.429679], [-71.0536, 42.505195], [-70.972136, 42.505195], [-70.972136, 42.429679]]]",negative
"[[[-80.173447, 26.476484], [-80.173447, 26.590488], [-80.05236, 26.590488], [-80.05236, 26.476484]]]",positive
"[[[-150.035259, 61.043884], [-150.035259, 61.426201], [-149.48233, 61.426201], [-149.48233, 61.043884]]]",negative
"[[[-87.690385, 10.707543], [-87.690385, 15.025909], [-82.645966, 15.025909], [-82.645966, 10.707543]]]",positive
"[[[-77.172219, 38.827378], [-77.172219, 38.934311], [-77.031779, 38.934311], [-77.031779, 38.827378]]]",neutral
"[[[-118.082615, 33.628991], [-118.082615, 33.756093], [-117.91485, 33.756093], [-117.91485, 33.628991]]]",positive
"[[[-2.659936, 51.399367], [-2.659936, 51.516387], [-2.510844, 51.516387], [-2.510844, 51.399367]]]",negative
"[[[-118.517358, 33.995177], [-118.517358, 34.050199], [-118.443482, 34.050199], [-118.443482, 33.995177]]]",neutral
"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",negative
"[[[-119.32694, 45.824334], [-119.32694, 45.864803], [-119.258928, 45.864803], [-119.258928, 45.824334]]]",neutral
"[[[-88.003635, 41.812505], [-88.003635, 41.862029], [-87.900262, 41.862029], [-87.900262, 41.812505]]]",positive
"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",neutral
"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",neutral
"[[[-77.262146, 38.811091], [-77.262146, 38.865962], [-77.157684, 38.865962], [-77.157684, 38.811091]]]",neutral
"[[[-118.082615, 33.628991], [-118.082615, 33.756093], [-117.91485, 33.756093], [-117.91485, 33.628991]]]",positive
"[[[-95.679001, 30.23105], [-95.679001, 30.443978], [-95.397267, 30.443978], [-95.397267, 30.23105]]]",neutral
